name	publisher	title	coverage	subject	placeOfPublication
sn85058027	S.W. Ross & L.W. Gaisford	American Fork citizen.	http://sws.geonames.org/5844096/		American Fork, Utah
sn88064478	Jno. Dickinson	Shreveport daily news.	http://sws.geonames.org/4341513/		Shreveport, La.
sn85025371	William N. Nelson	Clarke courier.	http://dbpedia.org/resource/Berryville%2C_Virginia	Berryville (Va.)--Newspapers.	Berryville, Va.
sn88085617	The Brotherhood	Industrial freedom.	http://dbpedia.org/resource/Edison%2C_Washington	Edison (Wash.)--Newspapers.	Edison, Wash.
sn85052141	Warren & Martin	The Hickman courier.	http://dbpedia.org/resource/Hickman%2C_Kentucky	Hickman (Ky.)--Newspapers.	Hickman, Ky.
sn85042462	Herald Pub. Co.	Los Angeles herald.	http://sws.geonames.org/5368361/	Los Angeles County (Calif.)--Newspapers.	Los Angeles [Calif.]
sn82016339	Hilo Tribune Pub. Co.	Hilo tribune.	http://sws.geonames.org/5855927/		Hilo, Hawaii
sn85047152	F. Austin]	Austin's Hawaiian weekly.	http://dbpedia.org/resource/Honolulu%2C_Hawaii	Hawaii--Periodicals.	Honolulu [Hawaii
sn85038022	A.F. Curran	The public ledger.	http://dbpedia.org/resource/Maysville%2C_Kentucky	Maysville (Ky.)--Newspapers.	Maysville, Ky.
sn82015130	National Republican Co.	The National Republican.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn85047059	Hui Hoolaha Nupepa Hawaii Holomua	Hawaii holomua.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu
sn86069849	Frankfort Print. Co.	Frankfort weekly news and roundabout.	http://sws.geonames.org/4292188/	Frankfort (Ky.)--Newspapers.	Frankfort, Ky.
sn96093062	Lewis Paullin	Durant weekly news.	http://dbpedia.org/resource/Durant%2C_Oklahoma	Indian Territory--Newspapers.	Durant, Choctaw Nation, Indian Territory [Okla.]
sn85052118	[s.n.]	The Paducah daily sun.	http://dbpedia.org/resource/Paducah%2C_Kentucky	Paducah (Ky.)--Newspapers.	Paducah, Ky.
sn95047178	[s.n.]	The new enterprise.	http://dbpedia.org/resource/Madison%2C_Florida	Madison County (Fla.)--Newspapers.	Madison, Fla.
sn95060914	Guardian Pub. Co.	Graham guardian.	http://sws.geonames.org/5312476/	Safford (Ariz.)--Newspapers.	Safford, Ariz.
sn86069240	Morton Green	It.	http://sws.geonames.org/4297581/	Lawrenceburg (Ky.)--Newspapers.	Lawrenceburg, Ky.
2007252175	[s.n.	The ranch.	http://sws.geonames.org/5816605/	Livestock--Washington (State)--Newspapers.	North Yakima, Wash.
sn95047227	T. E. & Royal B. Child	The champion.	http://dbpedia.org/resource/Arcadia%2C_Florida	Bowling Green (Fla.)--Newspapers.	Arcadia, Fla.
sn82014424	Evening Critic Pub. Co.	The Evening critic.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn84027621	Porter & Harding	The Ocala evening star.	http://sws.geonames.org/4166673/	Ocala (Fla.)--Newspapers.	Ocala, Fla.
sn86069201	Cartwright & Landrum	The central record.	http://sws.geonames.org/4297354/	Garrard County (Ky.)--Newspapers.	Lancaster, Ky.
sn88074142	John H. Oberly & Co.	The Cairo daily bulletin.	http://dbpedia.org/resource/Cairo%2C_Illinois	Cairo (Ill.)--Newspapers.	Cairo, Ill.
sn86053572	W.J. Murtagh	Daily national Republican.		Washington (D.C.)--Newspapers.	Washington City [D.C.]
sn88064237	James N. Turner	The Banner-Democrat.	http://dbpedia.org/resource/Lake_Providence%2C_Louisiana		Lake Providence, East Carroll Parish, La.
sn88078751	Frank Harper	The Democratic banner.	http://dbpedia.org/resource/Mount_Vernon%2C_Ohio	Mount Vernon (Ohio)--Newspapers.	Mt. Vernon, Ohio
sn84020558	Republican Pub. Co.	Arizona republican.	http://dbpedia.org/resource/Phoenix%2C_Arizona	Phoenix (Ariz.)--Newspapers.	Phoenix, Ariz.
sn82016245	C.M. Funston	The Coconino sun.	http://sws.geonames.org/5294810/	Coconino County (Ariz.)--Newspapers.	Flagstaff, Ariz.
sn83025287	H.P. Hall	Daily globe.	http://dbpedia.org/resource/Saint_Paul%2C_Minnesota	Saint Paul (Minn.)--Newspapers.	St. Paul, Minn.
sn95047416	John G. Collins	The Weekly Tallahasseean.	http://sws.geonames.org/4174715/	Leon County (Fla.)--Newspapers.	Tallahassee, Fla.
sn82016354	L. Schade	Washington sentinel.		Washington (D.C.)--Newspapers.	Washington City [D.C.]
sn85058117	Salt Lake Democrat Co.	Salt Lake evening Democrat.	http://dbpedia.org/resource/Salt_Lake_City%2C_Utah		Salt Lake City, Utah
sn95079154	W.C. Pendleton	Tazewell Republican.	http://dbpedia.org/resource/Tazewell%2C_Virginia	Tazewell (Va.)--Newspapers.	Tazewell, Va.
sn85038120	Logan Print. and Pub. Co.	The Democrat-sentinel.	http://dbpedia.org/resource/Logan%2C_Ohio		Logan, Ohio
sn85058246	N.R. Moore	The Logan Republican.	http://dbpedia.org/resource/Logan%2C_Utah		Logan, Utah
sn99063952	Capital Journal Pub. Co.	Evening capital journal.	http://dbpedia.org/resource/Salem%2C_Oregon	Salem (Or.)--Newspapers.	Salem, Or.
sn94050504	A.W. Howe	The Weekly orb.	http://sws.geonames.org/5284905/	Bisbee (Ariz.)--Newspapers.	Bisbee, Cochise County, Ariz. Territory
sn84022109	J.W. Downs	The Waco daily examiner.	http://dbpedia.org/resource/Waco%2C_Texas	Waco (Tex.)--Newspapers.	Waco, Tex.
sn86090049	Smith & Parsons	The San Angelo press.	http://dbpedia.org/resource/San_Angelo%2C_Texas		San Angelo, Tex.
sn82000205	Evening Critic Pub. Co.	The Washington critic.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn85052114	Sun Pub. Co.	The Paducah evening sun.	http://sws.geonames.org/4048662/	Paducah (Ky.)--Newspapers.	Paducah, Ky.
sn82015104	Sacramento Pub. Co.	The record-union.	http://sws.geonames.org/5389489/	Sacramento (Calif.)--Newspapers.	Sacramento, Calif.
sn86069162	Climax Print. Co.	The Richmond climax.	http://sws.geonames.org/4305974/	Richmond (Ky.)--Newspapers.	Richmond, Ky.
sn86071985	Johnston & Mills	Virginia gazette.	http://sws.geonames.org/4793846/	Williamsburg (Va.)--Newspapers.	Williamsburg, Va.
sn88071004	Natchitoches Pub. Co.	The Louisiana populist.	http://dbpedia.org/resource/Natchitoches%2C_Louisiana		Natchitoches, Natchitoches Parish, La.
sn87062054	C.M. Funston	The Coconino weekly sun.	http://sws.geonames.org/5294810/	Flagstaff (Ariz.)--Newspapers.	Flagstaff, Ariz.
sn86069675	Harris and Mason	The Mt. Sterling advocate.	http://dbpedia.org/resource/Mount_Sterling%2C_Kentucky	Mount Sterling (Ky.)--Newspapers.	Mt. Sterling, Ky.
sn87076916	Kinney, Nichols & Co.	Springfield globe-republic.	http://sws.geonames.org/4525353/	Springfield (Ohio)--Newspapers.	Springfield, Ohio
sn85058406	Standard Pub. Co.	The Morning standard.	http://dbpedia.org/resource/Ogden%2C_Utah		Ogden, Utah
sn83045487	N.D. Cochran	The day book.		Chicago (Ill.)--Newspapers.	Chicago, Ill.
sn82016441	Weekly News Pub. Co.	The weekly news.		Washington (D.C.)--Newspapers.	Anacostia [i.e. Washington] D.C.
sn95079220	J.D. Berry	Virginia citizen.	http://sws.geonames.org/4766169/	Irvington (Va.)--Newspapers.	Irvington, Va.
46032385	William J. Bryan	The commoner.	http://sws.geonames.org/5072005/	Middle class--United States.	Lincoln, Neb.
sn99063955	Hofer Bros.	Daily capital journal.	http://dbpedia.org/resource/Salem%2C_Oregon	Salem (Or.)--Newspapers.	Salem, Or.
2010270501	T.J. O'Keefe	The Alliance herald.	http://dbpedia.org/resource/Alliance%2C_Nebraska	Box Butte County (Neb.)--Newspapers.	Alliance, Box Buttte County, Neb.
sn82014402	Ringwalt, Hack & Co.	Daily critic.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn95069778	Robert B. Good	The Valentine Democrat	http://dbpedia.org/resource/Valentine%2C_Nebraska	Cherry County (Neb.)--Newspapers.	Valentine, Cherry Co., Neb.
sn96060681	J.O. Dunbar	Tombstone daily epitaph.	http://dbpedia.org/resource/Tombstone%2C_Arizona	Cochise County (Ariz.)--Newspapers.	Tombstone, Ariz.
sn84024055	Julius F. Taylor	The broad ax.	http://sws.geonames.org/5780993/	Salt Lake City (Utah)--Newspapers.	Salt Lake City, Utah
sn96027724	Kilkoff & Dean	The Florida agriculturist.	http://sws.geonames.org/4160021/	Jacksonville (Fla.)--Newspapers.	DeLand, Fla.
sn87082863	J.H. Hamill	Daily Arizona silver belt.	http://sws.geonames.org/5304640/	Globe (Ariz.)--Newspapers.	Globe, Gila County, Ariz.
sn86086284	New Orleans Catholic Pub. Co.	The morning star and Catholic messenger.	http://sws.geonames.org/4335045/	Catholics--Louisiana--New Orleans--Newspapers.	New Orleans [La.]
2007252185	[s.n.	Ranche and range.	http://dbpedia.org/resource/Spokane%2C_Washington	Agriculture--Northwest, Pacific--Newspapers.	North Yakima, Wash.
sn86069396	Chas. M. Meacham	The daily Kentuckian.	http://dbpedia.org/resource/Hopkinsville%2C_Kentucky	Hopkinsville (Ky.)--Newspapers.	Hopkinsville, Ky.
sn95079246	Mills & Jordan	Highland recorder.	http://dbpedia.org/resource/Monterey%2C_Virginia	Monterey (Va.)--Newspapers.	Monterey, Highland County, Va.
sn94059373	[s.n.]	The Farmville herald.	http://sws.geonames.org/4758495/	Farmville (Va.)--Newspapers.	Farmville, Va.
sn83016811	Parker, Burgett & Hardy	Western appeal.	http://sws.geonames.org/5045360/	Chicago (Ill.)--Newspapers.	Saint Paul, Minn.
sn85047097	[s.n.]	The Independent.	http://sws.geonames.org/5856195/		Honolulu, H.I.
sn88084272	Herald News Co.	El Paso herald.	http://sws.geonames.org/5520993/	El Paso (Tex.)--Newspapers.	El Paso, Tex.
sn83030214	New York Tribune	New-York tribune.		New York County (N.Y.)--Newspapers.	New York [N.Y.]
sn86090270	C. W. Ward	Shiner gazette.	http://dbpedia.org/resource/Shiner%2C_Texas	Shiner (Tex.)--Newspapers.	Shiner, Tex.
sn85025008	E. Snowden, Jr. & W.F. Carne	The Local news.	http://sws.geonames.org/4744091/	Alexandria (Va.)--Newspapers.	Alexandria, Va.
sn86063242	Spencer Cooper	The Hazel Green herald.	http://dbpedia.org/resource/Hazel_Green%2C_Kentucky	Hazel Green (Ky.)--Newspapers.	Hazel Green, Wolfe County, Ky.
sn95069777	Farris & Hawkes	Cherry County independent	http://dbpedia.org/resource/Valentine%2C_Nebraska	Valentine (Neb.)--Newspapers.	Valentine, Cherry Co., Neb.
sn84038328	Hilton & Campbell	The interior journal.	http://sws.geonames.org/4309487/	Lincoln County (Ky.)--Newspapers.	Stanford, Ky.
sn85047239	[D. Logan]	The daily herald.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu, Hawaiian Islands
sn95047417	John G. Collins	The weekly true Democrat.	http://dbpedia.org/resource/Tallahassee%2C_Florida	Tallahassee (Fla.)--Newspapers.	Tallahassee, Fla.
sn84020274	G. Knapp & Co.	The St. Louis Republic.		Saint Louis County (Mo.)--Newspapers.	St. Louis, Mo.
sn86069667	J. Wise Hagins	Breathitt County news.	http://sws.geonames.org/4296081/	Breathitt County (Ky.)--Newspapers.	Jackson, Ky.
sn84024670	Whittlesey & Gillis	The Daily state journal.	http://dbpedia.org/resource/Richmond%2C_Virginia	Richmond (Va.)--Newspapers.	Alexandria, Va.
sn82016455	Clum, Sorin & Co.	The Tombstone epitaph.	http://dbpedia.org/resource/Tombstone%2C_Arizona	Tombstone (Ariz.)--Newspapers.	Tombstone, Ariz.
sn84022835	C.L. Mather.	The Red Cloud chief.	http://dbpedia.org/resource/Red_Cloud%2C_Nebraska	Red Cloud (Neb.)--Newspapers.	Red Cloud, Webster Co., Neb.
sn88083120	Geo. A. Pike & W.H. Crenshaw	Daily gazette and comet.	http://sws.geonames.org/4315588/	Baton Rouge (La.)--Newspapers.	Baton Rouge, La.
sn88064165	M.G. Davis	The Carrollton sun.	http://dbpedia.org/resource/Carrollton%2C_Louisiana		City of Carrollton, Parish of Jefferson, La.
sn86069125	Rosser & McCarthy	Evening bulletin.	http://sws.geonames.org/4300152/	Mason County (Ky.)--Newspapers.	Maysville [Ky.]
sn84025811	Republican Pub. Co.	The Seattle Republican.	http://dbpedia.org/resource/Seattle%2C_Washington	African Americans--Washington (State)--Seattle--Newspapers.	Seattle, Wash.
sn84028140	William B. and Russell T. Dobson	Akron daily Democrat.	http://dbpedia.org/resource/Akron%2C_Ohio		Akron, Ohio
sn84021939	Clum, Sorin & Co.	The Tombstone epitaph.	http://sws.geonames.org/5317714/	Cochise County (Ariz.)--Newspapers.	Tombstone, Pima County, Ariz.
sn98047754	[s.n.	The ranch.	http://dbpedia.org/resource/Kent%2C_Washington	Livestock--Washington (State)--Newspapers.	Seattle, Wash.
sn95060905	Reppy & Peck	Tombstone epitaph.	http://dbpedia.org/resource/Tombstone%2C_Arizona	Cochise County (Ariz.)--Newspapers.	Tombstone, Ariz.
sn85025007	Edgar Snowden	Alexandria gazette.	http://dbpedia.org/resource/Alexandria%2C_Virginia	Alexandria (Va.)--Newspapers.	Alexandria, D.C.
sn96061150	J.F. Halloran & Co.	The Daily morning astorian.	http://dbpedia.org/resource/Astoria%2C_Oregon	Astoria (Or.)--Newspapers.	Astoria, Or.
sn85058010	J.W. Carpenter	The union.			St. George, Utah
sn82014159	The Hatchet Pub. Co.	The hatchet.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn92065612	Henry S. Farley	Straight-out democrat.	http://sws.geonames.org/4575352/	Columbia (S.C.)--Newspapers.	Columbia, S.C.
sn86069180	William M. Higgins	Kentucky Irish American.	http://sws.geonames.org/4299276/	Irish Americans--Kentucky--Newspapers.	Louisville, Ky.
sn85038615	Times-Dispatch Co.	The times dispatch.	http://dbpedia.org/resource/Richmond%2C_Virginia	Richmond (Va.)--Newspapers.	Richmond, Va.
sn85058310	Truth Pub. Co.	Truth.	http://dbpedia.org/resource/Salt_Lake_City%2C_Utah		Salt Lake City, Utah
sn84027005	J.A. Selby]	Tri-weekly phoenix.	http://dbpedia.org/resource/Columbia%2C_South_Carolina	Columbia (S.C.)--Newspapers.	[Columbia, S.C.
sn95067647	Journal Pub. Co.	The Mathews journal.	http://sws.geonames.org/4771980/	Mathews (Va.)--Newspapers.	Mathews C.H. [Court House]
sn88064460	Cal D. Hicks & G.G. Williams	The Progress.	http://dbpedia.org/resource/Shreveport%2C_Louisiana	Caddo Parish (La.)--Newspapers.	Shreveport, La.
sn86088452	Geo. H. Hagan	San Saba County news.	http://sws.geonames.org/4726582/	San Saba (Tex.)--Newspapers.	San Saba, Tex.
sn85058259	W.C. Higgins	Iron County record.	http://sws.geonames.org/5536630/		Cedar City, Utah
sn87062228	Washington Critic Co.	The Critic and record.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn82016410	Holomua Pub. Co.	Hawaii holomua = Progress.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu
sn86069161	Climax Print. Co.	The climax.	http://sws.geonames.org/4305974/	Richmond (Ky.)--Newspapers.	Richmond, Madison County, Ky.
sn85058130	W.C. Dunbar & E.L. Sloan]	The Salt Lake herald.	http://sws.geonames.org/5780993/	Salt Lake City (Utah)--Newspapers.	Salt Lake City [Utah
sn88064181	J.O. Williams	The Caldwell watchman.	http://dbpedia.org/resource/Columbia%2C_Louisiana	Columbia (La.)--Newspapers.	Columbia, La.
sn85058090	Lehi Pub. Co.	The Lehi banner.	http://dbpedia.org/resource/Lehi%2C_Utah		Lehi, Utah
2010270512	Courier Pub. Co.	Saturday morning courier.	http://sws.geonames.org/5072005/	Lincoln (Neb.)--Newspapers.	Lincoln, Neb.
sn95047263	C. Tharp & Co.	The Chipley banner.	http://sws.geonames.org/4150769/	Washington County (Fla.)--Newspapers.	Chipley, Washington County, Fla.
2010218501	Tribune Pub. Co.	The Inter-mountain farmer.	http://sws.geonames.org/5780993/	Salt Lake City (Utah)--Newspapers.	Salt Lake City, Utah
sn87090385	The News Co.	Waco evening news.	http://sws.geonames.org/4739526/		Waco, Tex.
sn85058140	[Herald-Republican Pub. Co.]	The Salt Lake herald-Republican.	http://sws.geonames.org/5780993/		Salt Lake City, Utah
sn83045211	Public Ledger Co.	Evening public ledger.		Philadelphia (Pa.)--Newspapers.	Philadelphia [Pa.]
sn86069848	George A. Lewis	The Frankfort roundabout.	http://dbpedia.org/resource/Frankfort%2C_Kentucky	Franklin County (Ky.)--Newspapers.	Frankfort, Ky.
sn96060682	Record Epitaph Pub. Co.	Daily Tombstone epitaph.	http://sws.geonames.org/5317714/	Tombstone (Ariz.)--Newspapers.	Tombstone, Ariz.
sn86053712	L. Dupleix	The Semi-weekly Natchitoches times.	http://dbpedia.org/resource/Natchitoches%2C_Louisiana		Natchitoches, La.
sn84028490	W. & G. Dunbar, Jr.	The Stark County Democrat.	http://sws.geonames.org/5149222/	Canton (Ohio)--Newspapers.	Canton, Ohio
sn88064480	John Dickinson	Shreveport weekly news.	http://sws.geonames.org/4341513/		Shreveport, La.
sn95070060	W. Huse & Son	The Norfolk weekly news	http://dbpedia.org/resource/Norfolk%2C_Nebraska	Norfolk (Neb.)--Newspapers.	Norfolk, Neb.
sn85047211	A.M. Prescott]	The Honolulu times.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu [Hawaii
sn84027006	Julian A. Selby	Columbia phoenix.	http://dbpedia.org/resource/Columbia%2C_South_Carolina	Columbia (S.C.)--Newspapers.	Columbia, S.C.
sn97070127	Democrat Pub. Co.	The daily democrat.	http://dbpedia.org/resource/Anadarko%2C_Oklahoma	Anadarko (Okla.)--Newspapers.	Anadarko, Okla.
sn94052989	San Francisco Call Co.	The morning call.	http://dbpedia.org/resource/San_Francisco%2C_California	San Francisco (Calif.)--Newspapers.	San Francisco [Calif.]
sn87093407	E.H. Wells & Co.	The Seattle star.	http://sws.geonames.org/5809844/	Seattle (Wash.)--Newspapers.	Seattle, Wash.
sn83016716	David Young	The Concordia eagle.	http://dbpedia.org/resource/Vidalia%2C_Louisiana	Vidalia (La.)--Newspapers.	Vidalia, La.
sn87093449	H.R. Cayton	The Daily Republican.	http://dbpedia.org/resource/Seattle%2C_Washington	Seattle (Wash.)--Newspapers.	Seattle, Wash.
sn85058091	A.F. & E.R. Gaisford	The Lehi sun.	http://sws.geonames.org/5777224/		Lehi, Utah
sn85038624	[s.n.]	The Norfolk post.	http://dbpedia.org/resource/Norfolk%2C_Virginia	Norfolk (Va.)--Newspapers.	Norfolk, Va.
sn95047266	R. Don McLeod, Jr.	Gulf Coast breeze.	http://sws.geonames.org/4152267/	Wakulla County (Fla.)--Newspapers.	Crawfordville, Fla.
sn85052021	E.C. Walton	The interior journal.	http://sws.geonames.org/4309487/	Lincoln County (Ky.)--Newspapers.	Stanford, Ky.
sn88085769	Washington Socialist Pub. Co.	The Washington socialist.	http://dbpedia.org/resource/Everett%2C_Washington	Everett (Wash.)--Newspapers.	Everett, Wash.
sn86091039	F. Nelson	The Utah County Democrat.	http://dbpedia.org/resource/Provo%2C_Utah		Provo City, Utah
sn93067822	H.G. Sheridan and James L. Sims	The Orangeburg democrat.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg, S.C.
sn83025729	R.C.O. Benjamin	The Lexington standard.	http://sws.geonames.org/4297983/	Lexington (Ky.)--Newspapers.	Lexington, Ky.
sn86071158	Democrat Pub. Co.	Fort Worth gazette.	http://dbpedia.org/resource/Fort_Worth%2C_Texas	Fort Worth (Tex.)--Newspapers.	Fort Worth, Tex.
sn86089977	Taylor & Taylor	The Jimplecute.	http://dbpedia.org/resource/Jefferson%2C_Texas	Jefferson (Tex.)--Newspapers.	Jefferson, Tex.
sn88085187	Tacoma Times Pub. Co.	The Tacoma times.	http://dbpedia.org/resource/Tacoma%2C_Washington	Tacoma (Wash.)--Newspapers.	Tacoma, Wash.
sn85034039	Chas. W. Bowman	The Holt County sentinel.	http://dbpedia.org/resource/Oregon%2C_Missouri		Oregon, Mo.
sn85052117	Sun Pub. Co.	Paducah sun.	http://dbpedia.org/resource/Paducah%2C_Kentucky	McCracken County (Ky.)--Newspapers.	Paducah, Ky.
sn88064439	W.H. Areaux	Natchitoches populist.	http://dbpedia.org/resource/Natchitoches%2C_Louisiana		Natchitoches, La.
sn86069872	Bruce Champ	Semi-weekly Bourbon news.	http://sws.geonames.org/4303602/	Paris (Ky.)--Newspapers.	Paris, Ky.
sn85032490	M.M. Murdock & R.D. Murdock	Wichita eagle.	http://dbpedia.org/resource/Wichita%2C_Kansas	Wichita (Kan.)--Newspapers.	Wichita, Kan.
sn95047216	Sun Co.	The sun.	http://dbpedia.org/resource/Jacksonville%2C_Florida	Leon County (Fla.)--Newspapers.	Jacksonville, Fla.
sn94060041	J.W. Edmonds	Peninsula enterprise.	http://dbpedia.org/resource/Accomac%2C_Virginia	Accomac (Va.)--Newspapers.	Accomac, Va.
sn85058397	W. Glasmann	The Evening standard.	http://dbpedia.org/resource/Ogden%2C_Utah	Ogden (Utah)--Newspapers.	Ogden City, Utah
sn85047264	[s.n.]	Daily Honolulu press.	http://sws.geonames.org/5856195/	Hawaii--Newspapers.	Honolulu, Hawaiian Islands
sn99063954	Capital Journal Pub. Co.	Capital journal.	http://sws.geonames.org/5750162/	Salem (Or.)--Newspapers.	Salem, Or.
sn85058028	W.D. Loveless	The Citizen.	http://sws.geonames.org/5844096/		American Fork, Utah
sn86069458	S.M. Jenkins	Crittenden record=press.	http://dbpedia.org/resource/Marion%2C_Kentucky	Marion (Ky.)--Newspapers.	Marion, Ky.
sn85052182	Sun Pub. Co.	The Sunday chat.	http://sws.geonames.org/4048662/	McCracken County (Ky.)--Newspapers.	Paducah, Ky.
sn84024827	W.B. Kelly	Bisbee daily review.	http://dbpedia.org/resource/Bisbee%2C_Arizona	Cochise County (Ariz.)--Newspapers.	Bisbee, Ariz.
sn85034357	James C. Nutty	Clinch Valley news.	http://sws.geonames.org/4788966/	Jeffersonville (Va.)--Newspapers.	Jeffersonville, Va.
sn88085771	Pugent Press	The co-operative news.	http://sws.geonames.org/5793933/	Everett (Wash.)--Newspapers.	Everett, Wash.
sn92062121	Chris O. Codrington	DeLand news.		Volusia County (Fla.)--Newspapers.	DeLand, Volusia County, Fla.
sn83025060	Cimeter Pub. Co.	The Muskogee cimeter.	http://dbpedia.org/resource/Muskogee%2C_Oklahoma	Muskogee (Okla.)--Newspapers.	Muskogee, Indian Territory, Okla.
sn88064479	Jno. Dickinson	Shreveport semi-weekly news.	http://dbpedia.org/resource/Shreveport%2C_Louisiana		Shreveport [La.]
sn93066071	Lily and Dolly Wright	The Beaver herald.	http://dbpedia.org/resource/Beaver%2C_Oklahoma	Beaver County (Okla.)--Newspapers.	Beaver, O.T. [Okla.]
sn88064054	Clyde S. Moss	Bogalusa enterprise.	http://dbpedia.org/resource/Bogalusa%2C_Louisiana		Bogalusa, La.
sn88064481	Jno. Dickinson	Semi-weekly news.	http://sws.geonames.org/4341513/		Shreveport [La.]
sn86069459	N.E. Calmes	Twice-a-week record-press.	http://dbpedia.org/resource/Marion%2C_Kentucky	Marion (Ky.)--Newspapers.	Marion, Ky.
sn84026965	J.C.C. Featherston and James A. Hoyt	The Anderson intelligencer.	http://dbpedia.org/resource/Anderson%2C_South_Carolina	Anderson County (S.C.)--Newspapers.	Anderson Court House, S.C.
sn83021447	Blair, Ferguson & Stout]	The Mountaineer.	http://dbpedia.org/resource/Salt_Lake_City%2C_Utah	Mormons--Utah--Newspapers.	Great Salt Lake City [Utah
sn88064477	Jno. Dickinson	The Shreveport weekly news.	http://dbpedia.org/resource/Shreveport%2C_Louisiana		Shreveport, La.
sn85058396	W. Glasmann	The Ogden standard.	http://dbpedia.org/resource/Ogden%2C_Utah		Ogden City, Utah
sn85032573	Marshall M. Murdock	The Wichita city eagle.	http://dbpedia.org/resource/Wichita%2C_Kansas	Sedgwick County (Kan.)--Newspapers.	Wichita, Kan.
sn95026701	Cricket Prewitt	Nassau County leader.		Nassau County (Fla.)--Newspapers.	Fernandina, Fla.
sn84025731	Commonwealth Pub. Co.	The Commonwealth.	http://sws.geonames.org/5793933/	Everett (Wash.)--Newspapers.	Everett, Wash.
sn84024442	Washington Times Co.	The morning times.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn89066315	Missourian Association	The Evening Missourian.	http://dbpedia.org/resource/Columbia%2C_Missouri	Boone County (Mo.)--Newspapers.	Columbia, Mo.
sn87091222	J.E. Vernor	The San Saba weekly news.	http://sws.geonames.org/4726582/	San Saba (Tex.)--Newspapers.	San Saba, Tex.
sn89077832	Republican Pub. Co.	The weekly republican.	http://dbpedia.org/resource/Phoenix%2C_Arizona	Phoenix (Ariz.)--Newspapers.	Phoenix, [Ariz.]
sn96061148	D.C. Ireland	Tri-weekly astorian.	http://sws.geonames.org/5711847/	Astoria (Or.)--Newspapers.	Astoria, Or.
2010270511	Courier Pub. Co.	Sunday morning courier.	http://sws.geonames.org/5072005/	Lincoln (Neb.)--Newspapers.	Lincoln, Neb.
sn90059049	Edward Kaiser	The daily pioneer.	http://dbpedia.org/resource/Bemidji%2C_Minnesota	Bemidji (Minn.)--Newspapers.	Bemidji, Beltrami Co., Minn.
sn85052076	T.G. Pasco	The citizen.	http://dbpedia.org/resource/Berea%2C_Kentucky	Berea (Ky.)--Newspapers.	Berea, Ky.
sn83045789	M.M. Murdock & R.P. Murdcock	Wichita daily eagle.	http://dbpedia.org/resource/Wichita%2C_Kansas	Wichita (Kan.)--Newspapers.	Wichita, Kan.
sn88064482	Jno. Dickinson	Shreveport weekly news.	http://dbpedia.org/resource/Shreveport%2C_Louisiana		Shreveport, La.
sn86053570	W.J. Murtagh & Co.	Daily national Republican.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn88061179	C.M. Harris	The Big Stone Gap post.	http://sws.geonames.org/4747555/	Big Stone Gap (Va.)--Newspapers.	Big Stone Gap, Wise County, Va.
sn94050506	Bisbee News Co.	Cochise review and Arizona daily orb.	http://sws.geonames.org/5284905/	Bisbee (Ariz.)--Newspapers.	Bisbee, Ariz.
sn87062055	C.M. Funston	The Coconino sun.	http://sws.geonames.org/5294810/	Flagstaff (Ariz.)--Newspapers.	Flagstaff, Ariz.
sn95047242	D.E. Godwin	The Gainesville star.	http://sws.geonames.org/4156404/	Alachua County (Fla.)--Newspapers.	Gainesville, Fla.
sn85026941	Gatewood & Trout	Shenandoah herald.	http://sws.geonames.org/4794641/	Woodstock (Shenandoah County, Va.)--Newspapers.	Woodstock, Va.
sn84024441	Washington Times Co.	The evening times.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn2008058170	Washington Critic Co.	The daily critic.		Washington (D.C.)--Newspapers.	Washington City, D.C.
sn85058217	Times Pub. Co.	The Coalville times.	http://sws.geonames.org/5773066/		Coalville, Utah
sn83016484	Jno. Dickinson	Shreveport semi-weekly news.	http://dbpedia.org/resource/Shreveport%2C_Louisiana		Shreveport, La.
sn82000189	Washington Critic Co.	The Washington critic.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn99066033	Courier Pub. Co.	The courier.	http://dbpedia.org/resource/Lincoln%2C_Nebraska	Lincoln (Neb.)--Newspapers.	Lincoln, Neb.
sn88064676	N.L. Miller	The Jennings daily record.	http://dbpedia.org/resource/Jennings%2C_Louisiana	Jennings (La.)--Newspapers.	Jennings, La.
sn86063952	Roy Hoffman	The Guthrie daily leader.	http://dbpedia.org/resource/Guthrie%2C_Oklahoma	Logan County (Okla.)--Newspapers.	Guthrie, Okla.
sn84036012	Standard Pub. Co.	The Anaconda standard.	http://dbpedia.org/resource/Anaconda%2C_Montana		Anaconda, Mont.
