name	publisher	title	coverage	subject	placeOfPublication
sn89066314	University Missourian Association	The daily Missourian.	http://dbpedia.org/resource/Columbia%2C_Missouri	Columbia (Mo.)--Newspapers.	Columbia, Mo.
sn86071779	Virginian and Pilot Pub. Co.	Virginian-pilot.	http://sws.geonames.org/4776222/	Norfolk (Va.)--Newspapers.	Norfolk, Va.
sn85052022	Shelton Saufley	The Stanford interior journal.	http://dbpedia.org/resource/Stanford%2C_Kentucky	Lincoln County (Ky.)--Newspapers.	Stanford, Ky.
sn86053571	W.J. Murtagh & Co.	The national Republican.		Washington (D.C.)--Newspapers.	Washington City [D.C.]
sn85058394	Union Printing Co.	The Morning examiner.	http://dbpedia.org/resource/Ogden%2C_Utah		Ogden, Utah
sn82000195	Washington Post Co.	The Evening post.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn96087587	J.S. Soule	Farmers' champion.	http://dbpedia.org/resource/Fletcher%2C_Oklahoma	Elgin (Okla.)--Newspapers.	Elgin, Okla.
sn88085488	Sargent & Neill	Pullman herald.	http://dbpedia.org/resource/Pullman%2C_Washington	Pullman (Wash.)--Newspapers.	Pullman, W.T. [Wash.]
sn90059522	St. Paul Globe Print. Co.	St. Paul daily globe.	http://sws.geonames.org/5045360/	Saint Paul (Minn.)--Newspapers.	Saint Paul, Minn.
sn86089443	Rankin & McCrimmon	Brenham weekly banner.	http://dbpedia.org/resource/Brenham%2C_Texas		Brenham, Tex.
sn86064118	Tulsa Star Print. and Pub. Co.	The Tulsa star.	http://sws.geonames.org/4553433/	African Americans--Oklahoma--Newspapers.	Tulsa, Okla.
sn85058258	R. Maeser	Iron County news.	http://sws.geonames.org/5536630/		Cedar City, Utah
sn85052020	W.P. Walton	Semi-weekly interior journal.	http://dbpedia.org/resource/Stanford%2C_Kentucky	Stanford (Ky.)--Newspapers.	Stanford, Ky.
sn87093448	H.R. Cayton	The republican.	http://dbpedia.org/resource/Seattle%2C_Washington	Seattle (Wash.)--Newspapers.	Seattle, Wash.
sn89066316	Missouri Pub. Association	The Columbia evening Missourian.	http://dbpedia.org/resource/Columbia%2C_Missouri	Columbia (Mo.)--Newspapers.	Columbia, Mo.
sn88085318	Colville Examiner	The Colville examiner.	http://dbpedia.org/resource/Colville%2C_Washington	Colville (Wash.)--Newspapers.	Colville, Wash.
